price,state,zip_code,area,home_status,latitude,longitude,zestimate,time_on_zillow,rent_zestimate,home_type,bedrooms,bathrooms,days_on_zillow,variable_type,variable_text,living_area,tax
3750.0,NY,10065,None,FOR_RENT,40.764152,-73.959745,768362,1616025900000,2895,MULTI_FAMILY,2.0,1.0,25,TIME_ON_INFO,25 days ago,None,None
4000.0,NY,10065,None,FOR_RENT,40.765575,-73.966723,616789,1615344180000,2950,MULTI_FAMILY,1.0,1.0,33,TIME_ON_INFO,33 days ago,None,None
3975.0,NY,10065,None,FOR_RENT,40.7619,-73.963782,517615,1613723700000,None,MULTI_FAMILY,1.0,1.0,52,TIME_ON_INFO,52 days ago,None,None
3900.0,NY,10065,710,FOR_RENT,40.764287,-73.96258,802468,1613453340000,3000,MULTI_FAMILY,1.0,1.0,55,TIME_ON_INFO,55 days ago,710.0,233372.0
3700.0,NY,10065,770,FOR_RENT,40.764708,-73.964724,932509,1611887340000,3825,MULTI_FAMILY,1.0,1.0,73,TIME_ON_INFO,73 days ago,770.0,216788.0
3950.0,NY,10065,850,FOR_RENT,40.764202,-73.961573,863995,1608431220000,4000,MULTI_FAMILY,1.0,1.0,113,TIME_ON_INFO,113 days ago,850.0,384326.0
3500.0,NY,10065,1000,FOR_RENT,40.763236,-73.96244,613128,1608188640000,2991,MULTI_FAMILY,1.0,1.0,116,TIME_ON_INFO,116 days ago,1000.0,None
3525.0,NY,10065,752,FOR_RENT,40.763367,-73.963802,521204,1608113100000,3295,MULTI_FAMILY,1.0,1.0,116,TIME_ON_INFO,116 days ago,752.0,None
3850.0,NY,10065,637,FOR_RENT,40.765003,-73.9635,428065,1606999140000,None,MULTI_FAMILY,None,1.0,129,TIME_ON_INFO,129 days ago,637.0,None
3750.0,NY,10065,745,FOR_RENT,40.766735,-73.964907,None,1599707940000,None,MULTI_FAMILY,1.0,1.0,214,TIME_ON_INFO,214 days ago,745.0,None
3895.0,NY,10065,1050,FOR_RENT,40.766881,-73.960796,None,1592375400000,None,MULTI_FAMILY,2.0,1.0,299,TIME_ON_INFO,254 days ago,1050.0,None
3500.0,NY,10065,None,FOR_RENT,40.762772,-73.96533,None,1596055020000,5350,MULTI_FAMILY,3.0,2.0,256,3D_HOME,3D Tour,None,None
3795.0,NY,10065,None,FOR_RENT,40.768425,-73.96677,None,1581393720000,None,MULTI_FAMILY,1.0,1.0,426,TIME_ON_INFO,426 days ago,None,None
4300.0,NY,10065,835,FOR_RENT,40.765116,-73.961069,822156,1618090500000,3400,MULTI_FAMILY,1.0,1.0,1,TIME_ON_INFO,1 day ago,835.0,305603.0
4350.0,NY,10065,950,FOR_RENT,40.768566,-73.968284,862118,1617752220000,2805,MULTI_FAMILY,2.0,1.0,5,TIME_ON_INFO,5 days ago,950.0,None
4300.0,NY,10065,None,FOR_RENT,40.763398,-73.959602,781814,1617174060000,3550,MULTI_FAMILY,1.0,1.5,12,TIME_ON_INFO,12 days ago,None,None
4200.0,NY,10065,1000,FOR_RENT,40.763999,-73.960157,1093137,1617115500000,None,MULTI_FAMILY,2.0,2.0,12,TIME_ON_INFO,12 days ago,1000.0,None
4500.0,NY,10065,900,FOR_RENT,40.766776,-73.966978,1424132,1614648660000,3995,MULTI_FAMILY,1.0,1.5,41,TIME_ON_INFO,41 days ago,900.0,232783.0
4300.0,NY,10065,None,FOR_RENT,40.76899,-73.967121,665635,1613444640000,None,MULTI_FAMILY,1.0,1.0,55,TIME_ON_INFO,42 days ago,None,None
4500.0,NY,10065,985,FOR_RENT,40.765287,-73.961275,846887,1613898120000,4400,MULTI_FAMILY,1.0,1.5,50,TIME_ON_INFO,50 days ago,985.0,None
4500.0,NY,10065,None,FOR_RENT,40.764337,-73.967948,664656,1612509120000,None,MULTI_FAMILY,1.0,1.0,66,TIME_ON_INFO,66 days ago,None,None
4400.0,NY,10065,903,FOR_RENT,40.763016,-73.961694,None,1603247100000,4400,MULTI_FAMILY,1.0,1.5,173,TIME_ON_INFO,171 days ago,903.0,None
5000.0,NY,10065,886,FOR_RENT,40.764776,-73.963554,826666,1612762560000,None,MULTI_FAMILY,1.0,1.5,63,TIME_ON_INFO,63 days ago,886.0,None
4995.0,NY,10065,1100,FOR_RENT,40.76624,-73.96911,866632,1611998460000,4000,MULTI_FAMILY,2.0,1.0,71,TIME_ON_INFO,71 days ago,1100.0,None
4500.0,NY,10065,903,FOR_RENT,40.762683,-73.96573,1274067,1611987720000,3995,MULTI_FAMILY,1.0,1.5,72,TIME_ON_INFO,72 days ago,903.0,374082.0
4900.0,NY,10065,653,FOR_RENT,40.764012,-73.969194,1036939,1610511060000,3300,MULTI_FAMILY,None,1.0,89,TIME_ON_INFO,89 days ago,653.0,169685.0
4750.0,NY,10065,1150,FOR_RENT,40.763339,-73.96279,None,1601364000000,4425,MULTI_FAMILY,2.0,1.5,195,TIME_ON_INFO,162 days ago,1150.0,None
4750.0,NY,10065,None,FOR_RENT,40.763444,-73.96659,None,1594972380000,5200,MULTI_FAMILY,2.0,2.0,269,TIME_ON_INFO,269 days ago,None,None
5375.0,NY,10065,None,FOR_RENT,40.766881,-73.960796,None,1618102140000,None,MULTI_FAMILY,1.0,2.0,1,TIME_ON_INFO,1 day ago,None,None
5275.0,NY,10065,None,FOR_RENT,40.766203,-73.960665,None,1618102140000,2475,MULTI_FAMILY,1.0,1.5,1,TIME_ON_INFO,1 day ago,None,None
5300.0,NY,10065,1225,FOR_RENT,40.763921,-73.961138,606172,1616666520000,3400,MULTI_FAMILY,1.0,1.0,17,TIME_ON_INFO,17 days ago,1225.0,None
5500.0,NY,10065,1250,FOR_RENT,40.762419,-73.959298,1369053,1615858260000,3000,MULTI_FAMILY,2.0,2.0,27,TIME_ON_INFO,27 days ago,1250.0,97304000.0
